Brazil Offshore Wind Summit 2026 trará a agenda de trabalho para implantação da fonte no país,14 de maio de 2026,https://abeeolica.org.br/brazil-offshore-wind-summit-2026-trara-a-agenda-de-trabalho-para-implantacao-da-fonte-no-pais/
ENGIE Brasil divulga Relatório de Sustentabilidade 2025,17 de abril de 2026,https://abeeolica.org.br/engie-brasil-divulga-relatorio-de-sustentabilidade-2025/
ENGIE Brasil investe mais de R$ 1 milhão em ações de desenvolvimento social nas comunidades do entorno da Usina de Jaguara,16 de março de 2026,https://abeeolica.org.br/engie-brasil-investe-mais-de-r-1-milhao-em-acoes-de-desenvolvimento-social-nas-comunidades-do-entorno-da-usina-de-jaguara/
ISI-ER inicia implantação de centro de referência para impulsionar medições offshore e “Economia Azul”,2 de março de 2026,https://abeeolica.org.br/isi-er-inicia-implantacao-de-centro-de-referencia-para-impulsionar-medicoes-offshore-e-economia-azul/
ENGIE é destaque em sustentabilidade no ranking da S&P Global 2026,2 de março de 2026,https://abeeolica.org.br/engie-e-destaque-em-sustentabilidade-no-ranking-da-sp-global-2026/
NOTA À IMPRENSA – Segurança Energética para Data Centers: corrigir distorções para garantir segurança e modicidade tarifária,25 de fevereiro de 2026,https://abeeolica.org.br/nota-a-imprensa-seguranca-energetica-para-data-centers-corrigir-distorcoes-para-garantir-seguranca-e-modicidade-tarifaria/
SINDRECICLA-RN e Polícia Civil apresentam aplicativo para rastrear cobre comercializado no RN,4 de fevereiro de 2026,https://abeeolica.org.br/sindrecicla-rn-e-policia-civil-apresentam-aplicativo-para-rastrear-cobre-comercializado-no-rn/
Em dois anos, ENGIE Brasil investiu mais de R$ 7 milhões em ações para promoção da saúde das comunidades,22 de dezembro de 2025,https://abeeolica.org.br/em-dois-anos-engie-brasil-investiu-mais-de-r-7-milhoes-em-acoes-para-promocao-da-saude-das-comunidades/
Pontal Energy vende complexo eólico na Bahia para Aliança Energia,22 de dezembro de 2025,https://abeeolica.org.br/pontal-energy-vende-complexo-eolico-na-bahia-para-alianca-energia/
SENAI-RN e DOIS A abrem edital para investimentos de pesquisa na 1ª planta-piloto de eólica offshore do Brasil,1 de dezembro de 2025,https://abeeolica.org.br/senai-rn-e-dois-a-abrem-edital-para-investimentos-de-pesquisa-na-1a-planta-piloto-de-eolica-offshore-do-brasil/
